layer,train_acc,test_acc,test_f1,prompt,steered_outs_list_0,steered_out_enforced_int_avg0,steered_outs_list_1,steered_out_enforced_int_avg1,steered_outs_list_2,steered_out_enforced_int_avg2,steered_outs_list_5,steered_out_enforced_int_avg5,steered_outs_list_10,steered_out_enforced_int_avg10,steered_outs_list_20,steered_out_enforced_int_avg20,steered_outs_0,steered_out_enforced_int_0,steered_outs_1,steered_out_enforced_int_1,steered_outs_2,steered_out_enforced_int_2,steered_outs_5,steered_out_enforced_int_5,steered_outs_10,steered_out_enforced_int_10,steered_outs_20,steered_out_enforced_int_20
10,1.0,0.92,0.9199679871948779,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['3 = moderate / typical indoor', '0 = very dark / night-like', 'my dog', '4 = bright', '1 = very dark / night-like']",2.8,"['Source', '1 = very dark / night-like', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale:\n1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4', '1 = very dark / night-like', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale: 1 = very dark / night-like\nIf uncertain, choose 3. Output only one digit (']",3.8,"['Medium', '1 = very dark / night-like', 'average', '0\n2', '5 = extremely bright']",3.2,"['3.0', '1', '0 = very dark / night-like', 'dog_and_cat_1_000', '4']",2.8,"['What is the word of the day?', 'Answer: 4', 'Scale: 3', 'by average appearance', '5 = extremely bright']",3.2,"['0 = very dark / night-like', '6 = extremely bright', '3 = moderate / typical indoor', '3', '5']",2.6,,,,,,,,,,,,
11,1.0,0.94,0.93999399939994,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale:\n1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4', '1 = dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)', '1 = very dark / night-like', '0', '5 = extremely bright']",1.6,"['#', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale:\n1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4', '1 = very dark / night-like', 'Answer: 3', '5']",2.2,"['1 = very dark / night-like\n1 = dim\n2 = moderate / typical indoor\n3 = bright\n4 = extremely bright (snow/sun glare, painful to look at)', '1 = very dark / night-like', 'Answer: 3', 'Answer: 3', '0 = very dark / night-like']",2.0,"['4 = bright', 'answer: 2', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor', '5 = extremely bright', '1 2 3 4 5']",2.6,"['1', '1 2 3 4 5', 'video', 'Answer: 3', '3']",2.8,"['3', 'answer: 3', '#', '0 = very dark / night-like\n1 = dim 2 = moderate / typical indoor\n3 = bright\n4 = extremely bright', '1 2 3 4 5']",2.4,,,,,,,,,,,,
12,1.0,0.93,0.9299929992999301,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['Very dark / night-like', '5 = extremely bright', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)', '4', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)']",1.4,"['1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)', 'answer: average', 'Medium', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright', 'A: 3']",2.6,"['(1-5 is very dark / night-like 3 is dim 2 is moderate / typical indoor 1 is bright 5 is extremely bright)', 'Average', '2 = dim', '2', '1 = very dark / night-like']",1.0,"['4 = bright', '5 = extremely bright', '0 = very dark / night-like\n1 = dim\n2 = moderate / typical indoor\n3 = bright\n4 = extremely bright\n5 = output only one digit (1-5)\nNo words, no punctuation.\nOutput only one digit (1-5)', '# 1', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale:\n1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4']",2.2,"['2 = medium', '1 = very dark / night-like', '1-5', '1 = very dark / night-like', '1']",3.2,"['answer : average', '5 = extremely bright', '3 = moderate / typical indoor', '3 = average', '1 2 3 4 5']",3.4,,,,,,,,,,,,
13,1.0,0.94,0.9399759903961584,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['1 = very dark / night-like', '5 = very bright', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n5 = extremely bright (snow/sun glare, painful to look at)\nScale: 1 = uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.', '0 = dark / night-like 1 = dim 2 = moderate / typical indoor 3 = bright 4 = extremely bright (snow/sun glare, painful to look at)', '1 = very dark / night-like']",1.8,"['How bright is the scene?', 'Answer', 'answer: 3', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nOutput only one digit (1–5). No words, no punctuation.', '1']",2.0,"['output', '1 2 3 4 5', '#2', '1 2 3 4 5', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale:\n1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4']",2.4,"['0 = very dark/night-like', '3', '1 = very dark / night-like', '1 = very dark / night-like', 'answer : 3']",2.4,"['1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright', '07.2019', 'answer: 3', '000000000 000000000 000000000 000000000 000000000 000000000 0000']",2.0,"['1', '2 = moderate / typical indoor', '1', '2', '1 2 3 4 5']",2.2,,,,,,,,,,,,
14,1.0,0.915,0.9149808706959066,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['1 = very dark / night-like', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '4', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '1 - 5']",2.4,"['5 = extremely bright', '1 = very dark / night-like', 'average', 'Question: Is the scene bright?', '# of digits 1']",2.4,"['2 = moderate / typical indoor', '0', '1 = very dark / night-like', '2 = dim', '1 = very dark / night-like']",3.0,"['1 = very dark / night-like', '3 = moderate / typical indoor', '3', '3 = moderate / typical indoor', 'Answer: 3']",1.8,"['1', '2', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '1 5', 'medium']",2.0,"['2', '3', 'average', '1 = very dark', '1 = very dark / night-like']",2.4,,,,,,,,,,,,
15,1.0,0.905,0.9049786201895427,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['1 = very dark / night-like', '2 = moderate / typical indoor', '1', '2', '1']",1.4,"['5 = extremely bright', '0 = dark / night-like', '1 = very dark / night-like', 'Answer: 3', '#']",3.0,"['5', '8', '4', '1 = very dark / night-like', 'Yes']",3.0,"['0 = extremely bright', '1 = very dark / night-like\n2 = dim', '3', '1 = very dark / night-like', '1 2 3 4 5']",2.2,"['1 = very dark / night-like', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '1 = very dark / night-like', '1 2 3 4 5']",2.8,"['3 = moderate / typical indoor', '2 = moderate indoor', '1 - very dark / night-like', '1 = very dark / night-like 2 = dim', '3 = moderate / typical indoor']",2.4,,,,,,,,,,,,
16,1.0,0.91,0.9099639855942376,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', 'answer 1', '4 = bright', 'Very dark, 2 = moderate, 3 = typical indoor, 4 = bright, 5 = extremely bright.', '3 = moderate / typical indoor']",2.8,"['2 = moderate / typical indoor', '2', '5 = extremely bright', 'Answer: 3', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright']",2.6,"['1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)', '1 2 3 4 5', '2 < 3', '3 = moderate / typical indoor', '2. 3. 4. 5']",2.8,"['3 = dim', '3 = moderate / typical indoor', 'Answer: 3', '0 = very dark / night-like', '1: very dark / night-like']",1.6,"['Question number 231 in the video test', '3', '1', '1 = very dark / night-like 2 = dim 3 = average / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '1 = very dark / night-like']",2.0,"['1 5', '2', '2 = bright', '1 = very dark / night-like', 'average']",2.8,,,,,,,,,,,,
17,1.0,0.875,0.8747463613817982,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['Answer:', '3 = moderate / typical indoor', '3 =', '4', '1 = very dark / night-like']",3.0,"['#', '1 = very dark / night-like', '0 = dark / night-like', '(1 = very dark / night-like 5 = extremely bright', '3']",2.0,"['2 = dim', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '5 = extremely bright', 'output', '1']",1.8,"['1', '1 2 3 4 5', '1 - very dark / night-like 2 - dim 3 - moderate / typical indoor 4 - bright 5 - extremely bright (snow/sun glare, painful to look at)', '3 = moderate indoor', 'answer : 3']",3.4,"['1 = very dark / night-like', '1 = very dark / night-like', '(low light, dark room, bright sunlight)', '1 2 3 4 5', 'average']",4.0,"['5 = very bright', '1 = very dark / night-like 2 = dim', '2 = moderate / typical indoor', '1 bright 2 dim 3 moderate 4 bright', 'my dog is super excited when she sees me she is always so excited when i get home']",2.0,,,,,,,,,,,,
18,1.0,0.805,0.8046043237556051,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['3 = bright', '1 2 3 4 5', '012345', '5 = very bright', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor']",2.6,"['2 = dim', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale: 1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4', '1 = very dark / night-like', '1', '3 = moderate / typical indoor']",2.2,"['1 2 3 4 5', '2 = dim', 'I need to know how to get this dog to like my cat more', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright', 'light']",2.2,"['1 2 3 4 5', '1 = very dark / night-like', '1 = very dark / night-like', '(0-10)', '3']",3.0,"['1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '#', '3 = moderate / typical indoor', '3 = average / light', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at) Output only one digit (1–5). No words, no punctuation.']",2.2,"['1 = very dark / night-like', '2 = moderate / typical indoor', '2 = moderate / typical indoor', '1 2 3 4 5', '0 = extremely dark / night-like']",2.0,,,,,,,,,,,,
19,1.0,0.8,0.7998198378540686,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['answer: Bright', '(1 = dark) (2 = slightly dim) (3 = medium brightness) (4 = bright) (5 = extremely bright)', '2 = dim', '#', '5 = extremely bright']",2.2,"['1 = very dark / night-like', '5', '5 = extremely bright', '5 = bright', '2 = moderate / typical indoor']",2.0,"['None of them', 'answer: 3', 'Answer: medium', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale : \n1 = 1 = 1 = 1 = 1 = 1 = 1 =', '1']",2.2,"['answer: 3', '3', '1 2 3 4 5 6 7 8 9 10 11 12 13', '5 = extremely bright', '1 = very dark / night-like']",2.6,"['3 = moderate / typical indoor', 'answer: average', '1 = very dark / night-like', '# of stars', '1: very dark / night-like']",2.0,"['4', '0', '5 = very bright / over-bright', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright']",2.6,,,,,,,,,,,,
20,1.0,0.8,0.8,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['answer : 3', '1 = extremely dark / night-like', 'Question: What is the lighting like?', '1 2 3 4 5', '1 2 3 4 5']",1.6,"['3 = moderate / typical indoor', '2', '1 = very dark / night-like', 'average', '2 = moderate / typical indoor']",2.8,"['0\n1\n2\n3\n4\n5\n92', '0 = almost dark', '1', '1 2 3 4 5', '1 = very dark / night-like\n2 = dim\n3 = medium / typical indoor 4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale: 1 = very dark / night-like\n2 = dim\n3 = medium / typical indoor\n4']",2.0,"['1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '3', '1 = very dark / night-like', '5 = very bright', '5 = extremely bright']",2.6,"['(dark) 2 (moderate) 3 (bright) 4 (extremely bright)', 'very dark / night-like', 'Question: Is human light on screen?', '1 = very dark', '5']",2.6,"['1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '3', 'Answer: 5', '5 = extremely bright', '3']",3.0,,,,,,,,,,,,
21,1.0,0.78,0.7798018216394755,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['4 = bright', 'Answer: 3', 'How bright is it?', '5 = extremely bright', '1 = very dark / night-like']",2.6,"['1 = very dark / night-like', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '5 = extremely bright', 'very dark / night-like', '1 = very dark / night-like']",2.2,"['4 = bright', 'very bright', 'answer: very dark / night-like', '5', '4 = bright']",2.6,"['3 = moderate / typical indoor', '5 = extremely bright', '0 = dark / night-like', 'bright', 'Output only one digit (1-5). No words, no punctuation.']",1.8,"['5', 'dog', '1 2 3 4 5', 'output 100', 'Answer: 3']",2.8,"['1 = very dark / night-like', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale:\n1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4', '4 = bright', '1 = very dark / night-like', '3']",1.8,,,,,,,,,,,,
22,1.0,0.78,0.77997799779978,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['answer: 3', '1 = very dark / night-like', 'bright', '2 = moderate / typical indoor', '9']",1.8,"['1', '5 = very bright', '1', '1 = very dark / night-like\n2 = dim', '5 = extremely bright']",2.8,"['3', '5 =', '3', 'video', '1 = very dark / night-like']",3.2,"['1 = very dark / night-like', '5 = extremely bright', '2 = dim', 'answer: 4', 'answer: 1']",2.0,"['answer: average', 'answer : 3', '#3 = bright', '1', 'answer: 2']",2.4,"['1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', 'I', '0 = dark', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', 'very dark / night-like']",2.4,,,,,,,,,,,,
23,1.0,0.775,0.7749493636068115,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['6 = extremely bright', 'Output only one digit (1–5).', '5 = extremely bright', '1 2 3 4 5', '5 = extremely bright']",2.4,"['1', '5 = very bright', '3 = moderate / typical indoor', '5', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)']",1.8,"['#', 'answer: 3', '1', '6 = extremely bright', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright']",1.8,"['5 = Extremely bright', ""0 = so dark that it's impossible to tell the difference between the light and the darkness."", '1 2 3 4 5 :', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', 'Answer: 3']",3.0,"['bright', '012345', '0 = very dark / night-like\n1 = dim\n2 = moderate / typical indoor\n3 = bright\n4 = extremely bright\nOutput only one digit (1–5).\nNo words, no punctuation.', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)', '6 = very bright']",1.4,"['1 = very dark / night-like', '1 2 3 4 5', '5 = extremely bright', '0 = very dark\n1 = dim\n2 = moderate / typical indoor 3 = bright\n4 = extremely bright (snow/sun glare, painful to look at)', '2 = moderate / typical indoor']",2.2,,,,,,,,,,,,
24,1.0,0.775,0.7749493636068115,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['1 = Very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)', '1 = very dark / night-like', '1', 'Answer: 3', 'Example: How bright is the room?']",3.0,"['2 = moderate / typical indoor', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright', '2 = dim', '3 = moderate / typical indoor', '1=very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright\nOutput only one digit (1–5)']",1.4,"['7', 'answer : 5', '3', '1 = very dark / night-like', '0 = very dark / night-like']",1.2,"['3 = moderate / typical indoor', '3 = moderate / typical indoor', 'medium', 'Answer: 3', '4 = bright']",2.0,"['2 = moderate / typical indoor', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)', '1 = very dark / night-like', '1 2 3 4 5', 'None']",2.2,"['1', 'Answer: 3', '3 = Moderate / typical indoor', '3 = bright', '2 = moderate']",2.4,,,,,,,,,,,,
25,1.0,0.775,0.7749943748593715,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

","['1 2 3 4 5', '5 = extremely bright', 'Output only one digit (1–5). No words, no punctuation.', '1', '0 = extremely dark / night-like']",3.0,"['1 = very dark / night-like', '#', 'Answer: 3', '1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)\nScale: 1 = very dark / night-like\nIf uncertain, choose 3. Output only one digit (', 'Answer: 2']",3.2,"['answer: average', '3 = moderate / typical indoor', '1 = very dark / night-like', '3', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)']",2.2,"['Answer: 3', 'Answer: 3', '4 = bright', '3', '1']",2.4,"['1 = very dark / night-like\n2 = dim\n3 = moderate / typical indoor\n4 = bright\n5 = extremely bright (snow/sun glare, painful to look at)', '1', '1', '3 = moderate / typical indoor', '1 = very dark / night-like 2 = dim 3 = moderate / typical indoor 4 = bright 5 = extremely bright (snow/sun glare, painful to look at)']",3.4,"['4', 'Click to go to the video', '1 2 3 4 5', '1 = very dark / night-like', 'Medium']",1.4,,,,,,,,,,,,
26,1.0,0.72,0.7197477729956961,"
answer en Rate the OVERALL scene brightness from 1–5 by average appearance, 
ignoring small light sources and specular highlights.

Scale:
1 = very dark / night-like
2 = dim
3 = moderate / typical indoor
4 = bright
5 = extremely bright (snow/sun glare, painful to look at)

If uncertain, choose 3. Output only one digit (1–5). No words, no punctuation.

Question: What is the scene brightness?

",,,,,,,,,,,,,N/A,1,N/A,1,N/A,1,N/A,1,N/A,1,N/A,1
